Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Training Time (sec)
Linear SVM,0.7580441197133624,0.35444613009021675,0.6050334574102932,0.4203569355683321,0.7780730163585786,3.45814847946167
Random Forest,0.7529858086272305,0.36655835691303784,0.4484964018416512,0.38102761559995174,0.7619691859006859,35.16401767730713
Naive Bayes,0.7067584656456372,0.2853896807444197,0.40013032076224125,0.290593972807335,0.7266214003439281,0.054952383041381836
Logistic Regression,0.42236897569200504,0.2117326232596468,0.6421119179386112,0.2444393772497059,0.5046566422940557,3.4623453617095947
