Experiment,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Training Time (s),Inference Time (s)
Experiment B (Hybrid TF-IDF + Linear SVM),0.8384150625263453,0.5151150516010506,0.6735335461105265,0.5749931776549685,0.8443204591024773,22.403838872909546,1.818535327911377
Experiment A (Char TF-IDF + Linear SVM),0.8086272305746803,0.43739759292192765,0.6687939115306366,0.5118699626947347,0.8193261161706944,19.416223764419556,1.6816058158874512
Experiment C (Hybrid TF-IDF + Calibrated Linear SVM),0.8545735562737108,0.733919883452092,0.3574116799753776,0.44898845083649147,0.8219289133285124,33.25460720062256,1.7922563552856445
Baseline (Word TF-IDF + Linear SVM),0.7580441197133624,0.35444613009021675,0.6050334574102932,0.4203569355683321,0.7780730163585786,4.2048139572143555,0.17722487449645996
Experiment D (Hybrid TF-IDF + Logistic Regression),0.5604889700716594,0.2552770842162427,0.6807579955534159,0.3174137788850441,0.6315560921841342,28.54631233215332,1.8575255870819092
